| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| 0.021979 | 0.250000 | 0.087915 | 0.051587 | 0.426048 | 0.011905 | 1.846208 | 0.000684 | 32.110181 |
| -0.015001 | 0.250000 | -0.060005 | 0.051587 | -0.290792 | 0.011905 | -1.260098 | 0.000684 | -21.916260 |
| 0.008120 | 0.250000 | 0.032481 | 0.051587 | 0.157408 | 0.011905 | 0.682103 | 0.000684 | 11.863481 |
| 0.033927 | 0.250000 | 0.135707 | 0.051587 | 0.657656 | 0.011905 | 2.849842 | 0.000684 | 49.565885 |
| 0.000849 | 0.250000 | 0.003398 | 0.051587 | 0.016465 | 0.011905 | 0.071349 | 0.000684 | 1.240939 |
| 0.022753 | 0.250000 | 0.091013 | 0.051587 | 0.441062 | 0.011905 | 1.911269 | 0.000684 | 33.241754 |
| -0.035307 | 0.250000 | -0.141229 | 0.051587 | -0.684418 | 0.011905 | -2.965811 | 0.000684 | -51.582870 |
| -0.004368 | 0.250000 | -0.017473 | 0.051587 | -0.084679 | 0.011905 | -0.366942 | 0.000684 | -6.382043 |
| -0.017698 | 0.250000 | -0.070793 | 0.051587 | -0.343073 | 0.011905 | -1.486651 | 0.000684 | -25.856580 |
| 0.015165 | 0.250000 | 0.060661 | 0.051587 | 0.293972 | 0.011905 | 1.273879 | 0.000684 | 22.155940 |
| -0.016180 | 0.250000 | -0.064720 | 0.051587 | -0.313645 | 0.011905 | -1.359128 | 0.000684 | -23.638633 |
| 0.013456 | 0.250000 | 0.053824 | 0.051587 | 0.260838 | 0.011905 | 1.130300 | 0.000684 | 19.658738 |
| 0.001725 | 0.250000 | 0.006900 | 0.051587 | 0.033437 | 0.011905 | 0.144895 | 0.000684 | 2.520081 |
| -0.015970 | 0.250000 | -0.063880 | 0.051587 | -0.309574 | 0.011905 | -1.341488 | 0.000684 | -23.331830 |
| -0.012447 | 0.250000 | -0.049786 | 0.051587 | -0.241271 | 0.011905 | -1.045509 | 0.000684 | -18.184021 |
| -0.005642 | 0.250000 | -0.022569 | 0.051587 | -0.109374 | 0.011905 | -0.473954 | 0.000684 | -8.243243 |
| -0.000435 | 0.250000 | -0.001742 | 0.051587 | -0.008440 | 0.011905 | -0.036572 | 0.000684 | -0.636085 |
| 0.020891 | 0.250000 | 0.083562 | 0.051587 | 0.404956 | 0.011905 | 1.754810 | 0.000684 | 30.520537 |
| -0.002902 | 0.250000 | -0.011607 | 0.051587 | -0.056248 | 0.011905 | -0.243742 | 0.000684 | -4.239277 |
| 0.008819 | 0.250000 | 0.035277 | 0.051587 | 0.170960 | 0.011905 | 0.740827 | 0.000684 | 12.884829 |
| -0.020751 | 0.250000 | -0.083005 | 0.051587 | -0.402253 | 0.011905 | -1.743097 | 0.000684 | -30.316818 |
| 0.033921 | 0.250000 | 0.135683 | 0.051587 | 0.657543 | 0.011905 | 2.849352 | 0.000684 | 49.557350 |
| -0.007136 | 0.250000 | -0.028544 | 0.051587 | -0.138329 | 0.011905 | -0.599424 | 0.000684 | -10.425474 |
| -0.007794 | 0.250000 | -0.031177 | 0.051587 | -0.151089 | 0.011905 | -0.654721 | 0.000684 | -11.387229 |
| 0.002277 | 0.250000 | 0.009109 | 0.051587 | 0.044141 | 0.011905 | 0.191280 | 0.000684 | 3.326832 |
| -0.005233 | 0.250000 | -0.020931 | 0.051587 | -0.101435 | 0.011905 | -0.439550 | 0.000684 | -7.644877 |
| 0.035079 | 0.250000 | 0.140317 | 0.051587 | 0.680000 | 0.011905 | 2.946667 | 0.000684 | 51.249898 |
| 0.000479 | 0.250000 | 0.001915 | 0.051587 | 0.009280 | 0.011905 | 0.040212 | 0.000684 | 0.699392 |
| 0.006531 | 0.250000 | 0.026123 | 0.051587 | 0.126597 | 0.011905 | 0.548588 | 0.000684 | 9.541317 |
| -0.002389 | 0.250000 | -0.009558 | 0.051587 | -0.046319 | 0.011905 | -0.200714 | 0.000684 | -3.490912 |
| -0.006406 | 0.250000 | -0.025625 | 0.051587 | -0.124182 | 0.011905 | -0.538121 | 0.000684 | -9.359274 |
| -0.000270 | 0.250000 | -0.001080 | 0.051587 | -0.005234 | 0.011905 | -0.022680 | 0.000684 | -0.394462 |
| 0.025416 | 0.250000 | 0.101663 | 0.051587 | 0.492674 | 0.011905 | 2.134919 | 0.000684 | 37.131584 |
